lemma,frequency,salience,phrase,sentence
vabariiklane,414,3070.759,vabariiklasest kuberner,"New Yorgi osariigi vabariiklasest kuberner George Pataki leiab , et Bushi mõõdukam kurss , mis kahtlemata ärritab partei suunamisel viimase kuue aasta jooksul väga prominentset rolli mänginud paremäärmuslikke usuringkondi , on vaid tervitatav ."
vabariiklane,414,3070.759,Vabariiklasest senaator,"Vabariiklasest senaator ja Senati välissuhete komitee esimees Richard Lugar ütles AP teatel , et diplomaatia ei alga enne , kui president lõpetab ei ütlemise maavägedele ."
vabariiklane,414,3070.759,Vabariiklasest senaator,"Vabariiklasest senaatori Tom Kingi esitatud eelnõu põhineb ühe striptiisiklubide külastajate käitumisest puudutatud kohaliku elaniku ettepanekul ning näeb muuhulgas ette karistuse "" meeste kaetud , märgatavalt punsunud genitaalide eksponeerimise "" eest ."
vabariiklane,414,3070.759,Vabariiklasest senaator,"Vabariiklasest senaator ei soovinud küll kasutada sõna kampaania lõpp , vaid rääkis selle ajutisest peatamisest , sest kavatseb ( nagu ka Bradley ) ka edaspidi võidelda selle eest , et Gore'i ja Bushi kampaaniad ei vaataks kõrvale reformide vajadusest Ameerika suurpoliitikas ."
vabariiklane,414,3070.759,vabariiklasest kongresmen,"Ent tegu on ju naabriga , hindab maailma ühe mõjukaima ajalehe veergudel esinev vabariiklasest kongresmen George Nethercutt , kes ei suuda kuidagi aru saada , mille poolest Hiina ja Kuuba niivõrd erinevad , et ühega saab normaalseid sidemeid sisse seada , teisega aga mitte ."
vabariiklane,414,3070.759,vabariiklasest kongresmen,""" Kas kits kärneriks ? "" küsib möödunudreedene Iltalehti , kui räägib vabariiklasest kongresmeni Hydei enda seksiskandaalist , mis olevat lõhkunud kaks perekonda ."
vabariiklane,414,3070.759,vabariiklasest kongresmen,"Tema õepoeg Lincoln Diaz-Balart , Florida vabariiklasest kongresmen , nõuab praegu Eliani jäämist USA-sse ."
hollandlane,398,3004.485,hollandlasest peatreener,"Kalevi hollandlasest peatreener Maarten van Gent tõdes pärast teisipäevast kohtumist , et temale oli peamine võit ja kõik muu - nagu korralikule tsirkusenumbrile sarnanenud korvpallimäng - teisejärguline ."
hollandlane,398,3004.485,hollandlasest peatreener,"“ Meeskond pidas kinni mängudistsipliinist , ” tundis Kalevi hollandlasest peatreener Maarten van Gent heameelt ."
hollandlane,398,3004.485,hollandlasest peatreener,"“ Postimees ” tabas Eesti meeste koondise hollandlasest peatreeneri eile telefonitsi Hispaaniast , kus mees koos perega puhkab ."
hollandlane,398,3004.485,hollandlasest treener,Eesti korvpallureist valmistab hollandlasest treenerile praegu muret vaid Marek Noormetsa käekäik - suvel Hollandis jalaoperatsioonil käinud keskmängija saab tõsiselt harjutama hakata alles kuu aja pärast .
hollandlane,398,3004.485,hollandlasest treener,"Londoni klubi hollandlasest treener Martin Jol sõnas , et enne väljakule jooksmist oksendasid hoolealused riietusruumis ."
hollandlane,398,3004.485,hollandlasest treener,Kalevi hollandlasest treeneri Maarten van Genti arvates oli tema meeskonna eilne alistaja Pruszkowi Mazowszanka Tallinnas parem kui Poolas peetud avakohtumises .
hollandlane,398,3004.485,hollandlasest juhendaja,"“ Ta arenes nii rünnakul kui kaitses , ” ütles hollandlasest juhendaja ."
hollandlane,398,3004.485,hollandlasest juhendaja,"Siis ma võin elada , ” ütles Kalevi hollandlasest juhendaja enne meeskonna eileõhtust treeningut ."
hollandlane,398,3004.485,hollandlasest juhendaja,"“ Marek mängib Milano vastu , ” kinnitas Kalevi hollandlasest juhendaja eile õhtul Postimehele ."
hollandlane,398,3004.485,hollandlasest ründaja,"Itaalia jalgpalliklubi hollandlasest ründaja Patrick Kluivert ähvardas enam mitte kunagi mängida Hollandi koondises , kui teda ei arvata rahvusmeeskonda 6 . septembril peetavaks MM-valikmänguks Belgia vastu ."
hollandlane,398,3004.485,hollandlasest ründaja,"Jalgpalliklubi Manchester United ostab 18,5 miljoni naela eest Eindhoveni hollandlasest ründaja Ruud van Nistelrooy ."
hollandlane,398,3004.485,hollandlasest ründaja,"Hullem lugu võib oodata Arsenali hollandlasest ründajat Robin van Persiet ( väiksesel pildil ) , kes arreteeriti Rotterdamis süüdistatuna vägistamises ."
hollandlane,398,3004.485,hollandlasest kaitsja,Inglise vutiklubi Manchester United ostab PSV Eindhovenilt 10 miljoni naelsterlingi eest hollandlasest kaitsja Jaap Stami .
hollandlane,398,3004.485,hollandlasest kaitsja,"Manchester United saatis hiljuti Rooma Laziosse hollandlasest kaitsja Jaap Stami , kes oli autobiograafias klubi juhtide töömeetodeid arvustanud ."
hollandlane,398,3004.485,hollandlasest kaitsja,Mind hakkasid uued sõbrad pika hollandlasest kaitsja Jaap Stami järgi Big Stam'iks kutsuma .
demokraat,399,2929.957,demokraadist senaator,"Kuid mõned demokraadist senaatorid ja isegi mõni vabariiklane usuvad , et Senat peaks leidma mooduse kohtu vältimiseks maa hüvangu nimel ."
demokraat,399,2929.957,demokraadist senaator,"küllalt , küllalt , küllalt , ” ütles demokraadist senaator John Breaux ."
demokraat,399,2929.957,demokraadist senaator,"Lewinsky-afääri algusest peale on mõned demokraadist senaatorid olnud presidendi kõige häälekamad kritiseerijad , samas pole ka kõik vabariiklased ühe mütsi all , hindab CNN ."
demokraat,399,2929.957,demokraadist president,"Clinton maandus nimekirjas 21. kohale George Bushi järel ja enne Jimmy Carterit , kes oli viimane demokraadist president enne Clintoni riigipeaks saamist 1993. aastal ."
demokraat,399,2929.957,demokraadist president,"1868. aastal , kui samuti demokraadist president Andrew Johnson vaatas lõunaosariikide kohtlemisel mööda vabariiklikust kongressist , üritasid seadusandjad teda tagandada võimupiiride ületamise eest ."
demokraat,399,2929.957,demokraadist president,"Tuli oodata järgmist demokraadist presidenti Bill Clintonit , et Lähis-Ida rahuprotsess hakkaks taas liikuma ."
demokraat,399,2929.957,demokraadist kuberner,"Lugejale võib jääda mulje , et sellised sõnavõtud on ehk parteipoliitiliselt motiveeritud , kuid tõde on , et demokraadist kuberneride hulk on kümnendi jooksul kahanenud enam kui poolelt vaid kolmandikuni ."
demokraat,399,2929.957,demokraadist kuberner,Homosuhet tunnistanud USA New Jersey osariigi demokraadist kuberner James McGreevey lahkub novembri keskel ametist .
demokraat,399,2929.957,demokraadist kuberner,", sest praeguse demokraadist kuberneri Gray Davisega rahulolematud osariigi valijad kogusid 1,6 miljonit allkirja ja said õiguse panna tema tagasikutsumine hääletusele ."
demokraat,399,2929.957,Demokraadist senaator,Demokraadist Louisiana senaator John Breaux'd on mainitud võimaliku energeetikaministrina .
demokraat,399,2929.957,Demokraadist senaator,"Demokraadist senaator Patrick Leahy ütles , et teda valdas telefonikõnede andmebaasist kuuldes tõeline šokk ."
demokraat,399,2929.957,Demokraadist senaator,"Demokraadist senaatori Joseph Bideni arvates erinevad pilt , mille valitsus Iraagist maalib , ja tegelik olukord nagu öö ja päev ."
demokraat,399,2929.957,demokraadist liige,"USA Esindajatekoja demokraadist liige Robert Matsui väitis , et USA turu avanemine hiinlastele seisab praegu ametiühingute vastutegevuse taga ."
demokraat,399,2929.957,demokraadist liige,"Kaks USA kongresmeni - vabariiklasest senaator William Roth ja demokraadist Esindajatekoja liige Jerry Kleczka - esitasid Kongressile seaduseelnõu , mis keelustaks USAs lemmikloomanahkade ja neist valmistatud toodete müügi ."
demokraat,399,2929.957,demokraadist liige,"“ Selle seaduse pooldajad tahtsid vaid lüüa veel ühe naela Fidel Castro kirstu , ” selgitas vabariiklaste motiive rahvusvaheliste suhete komisjoni demokraadist liige Sam Gejdenson ."
