member_1,member_2,phrase_case,frequency
ajalookoormast,põlvkond,n,2
tasumisest,kõrvalehoidja,g,2
marmorist,palee,n,2
eestlasest,karjane,n,2
klaasist,bussiootepaviljon,g,2
kasutamisest,huvitatu,p,2
pianistist,juht,ad,2
kullast,kuju,n,2
naissoost,laulja,n,2
kodanikust,internetimiljonär,n,2
vabariiklasest,asepresident,n,2
naturaalnahast,king,n,2
kiusatusest,vabanemine,tr,2
teenistusest,lahkumine,ter,2
kasepuust,rist,kom,2
vabariiklasest,komisjon,g,2
reformierakondlasest,hinnang,ad,2
haiglast,suhe,p,2
reformierakondlasest,juht,g,2
tulekahjust,pääsküla,n,2
klaasist,paviljon,n,2
kinnitamisest,keeldumine,tr,2
tööjõust,puudus,p,2
isast,lahutamine,n,2
venelasest,advokaat,p,2
rassist,inimene,p,2
internetist,lehekuulutus,el,2
esiuksest,siseneja,p,2
suvest,tegutsemine,g,2
isamaaliitlasest,ajaloolane,g,2
rahvusest,õpilane,all,2
mõrvarist,isa,n,2
komparteist,lahkumine,g,2
puust,vars,kom,2
juulist,reklaam,g,2
troonipärijast,prints,n,2
klassist,tulemus,p,2
itaallasest,konkurentsivolinik,n,2
argentiinlasest,piiskop,p,2
kirikust,heitmine,n,2
rühmaülemast,pataljoniülem,ter,2
puidust,eterniitkatus,kom,2
kogutoodangust,kaitsekulu,tr,2
tonnist,kuld,el,2
konverentsist,osavõtt,n,2
nõukogust,ettevõtja,n,2
martsipanist,köögivili,p,2
piirarvust,loobumine,n,2
aastast,kasv,p,2
ajast,ülesanne,p,2
linnast,linn,g,2
liiklusest,kõrvaldamine,p,2
soost,jalgpallur,g,2
ameeriklasest,taliib,n,2
keskerakondlasest,rahandusminister,g,2
eestlasest,sõbranna,n,2
plastmassist,kaitse,n,2
hollandlasest,ärimees,g,2
pronksist,pea,n,2
meeskonnakaaslasest,britt,n,2
enesetapjast,pommimees,n,2
rahvusest,tallinlane,n,2
varjust,ülehüppamine,n,2
suguelust,hoidumine,p,2
vahtkummist,loom,n,2
mängust,arusaamine,n,2
riigieelarvest,valimine,ad,2
kokkuvarisemisest,päästja,n,2
rahvusest,tallinlane,g,2
sakslasest,piiskop,n,2
prantslasest,peavikaar,n,2
kaubast,võltsitu,tr,2
raudbetoonist,karkass,kom,2
koolist,tulek,p,2
puust,pink,ad,2
reformierakondlasest,esinaine,n,2
paekivist,kasarmuhoone,n,2
puidust,korterelamu,p,2
kivist,ehitis,p,2
reklaamialast,tegevus,p,2
miljonilisest,dotatsioon,el,2
paekivist,kasarm,n,2
eelkäijast,mootor,n,2
it-alast,kompetents,adt,2
aprillist,kobarkino,in,2
kohanimealast,teave,p,2
tõusust,pääsemine,tr,2
avangust,väljumine,ad,2
keskerakondlasest,direktor,n,2
kriisist,väljaaitamine,ad,2
elust,lahkumine,ad,2
kompaniiülemast,pataljoniülem,ter,2
tööhõiveametist,sotsiaaltoetus,g,2
käibest,väljaviimine,kom,2
rahvusest,madrus,n,2
jordaanlasest,ekspert,n,2
ameeriklasest,töötaja,n,2
palestiinlasest,enesetaputerrorist,p,2
teemakohast,kirjandus,p,2
soomlasest,autoomanik,n,2
õigusabist,kriminaalasi,in,2
tähestikust,unistamine,n,2
lõhkeainest,pomm,kom,2
reformierakondlasest,kolleeg,all,2
kompensatsioonist,loobumine,el,2
kilogrammist,oopium,el,2
juhiloast,ilmajätmine,kom,2
ideest,loobumine,p,2
arvutist,laadimine,g,2
riigieelarvest,arvestus,kom,2
isamaaliitlasest,aseesimees,n,2
sajakonnast,inimene,el,2
araablasest,liige,p,2
meessoost,õpetaja,n,2
mehest,saamine,tr,2
rahahädast,pääsemine,tr,2
sisselaskmisest,keeldumine,p,2
eraisikust,valdaja,n,2
eestlasest,miljonär,g,2
puidust,peahoone,n,2
tütrest,vanem,n,2
ajateenistusest,kõrvalehoidmine,n,2
ajateenistusest,hoidumine,n,2
paberarvest,loobumine,tr,2
verepilastajast,pastor,n,2
graffitist,vabastamine,g,2
juunist,protsent,p,2
vajandusest,valimine,ter,2
rahvusest,sõdur,g,2
inglasest,kapten,g,2
rektoriametist,lahkumine,g,2
põhjasõjast,käsikiri,n,2
demokraadist,kohtuminister,n,2
kaugusest,maja,el,2
sündmusest,rääkimine,ad,2
aastast,aseesimees,n,2
haiglast,vallamaja,ter,2
puidust,sein,n,2
muusikalist,kõrgharidus,p,2
kristlasest,president,n,2
esimehest,peaminister,g,2
riidest,rõivas,n,2
lätlasest,puurivaht,n,2
meessoost,valvur,g,2
võistlustantsust,loobumine,p,2
reformierakondlasest,aselinnapea,n,2
alumiiniumist,ripplagi,n,2
keskerakondlasest,asespiiker,n,2
loast,keeldumine,g,2
populistist,peaminister,n,2
elamisloast,keeldumine,p,2
laagrist,väljumine,n,2
hüvitusfondist,raha,g,2
aastast,järjekindlus,kom,2
presidendiametist,lahkumine,g,2
puidust,seinatükk,n,2
sõidugraafikust,kinnipidamine,kom,2
ühisstardist,sõit,tr,2
eelarvestrateegiast,taganemine,n,2
püstolist,jalg,p,2
tulirelvast,tulistamine,in,2
kodukohast,jalgalaskmine,g,2
enamikust,parteikaaslane,el,2
narkosõltlasest,mees,n,2
eestlasest,astronoom,g,2
rasestumisest,hoidumine,tr,2
reformierakondlasest,linnavolinik,n,2
veebruarist,liige,n,2
soomlasest,kopteripiloot,p,2
tsoonist,lahkumine,tr,2
kahjumist,väljatulemine,tr,2
puidust,kirik,n,2
reedest,muudatus,n,2
egiptlasest,abi,n,2
akrediteeringust,ilmajäämine,g,2
elust,irdumine,p,2
venelasest,ettevõtja,all,2
meessoost,õppur,n,2
poliitikast,kõrvaldamine,n,2
tööst,kogemus,p,2
esinemisest,loobumine,n,2
kvaliteedist,kõrvalekaldumine,kom,2
kinokunstist,loobumine,ad,2
märtsist,rahandusminister,es,2
tuvastamisest,keeldumine,g,2
palestiinlasest,möödakäija,n,2
puidust,käepide,kom,2
rahast,pool,n,2
koolipingist,tulnu,es,2
arestimajast,vabastamine,p,2
heakskiitmisest,loobumine,g,2
tunnist,osavõtt,n,2
plaatinast,korpus,n,2
hõbedast,kaelaehe,g,2
kirjanikust,vend,g,2
aastast,toetus,p,2
sõjaväest,pääsenu,n,2
venelasest,president,n,2
kroonist,osa,n,2
miljardärist,investor,all,2
kohtumisest,osavõtja,n,2
arvutikoolitusest,osa,n,2
sügisest,ülikool,g,2
invaliidist,kunstnik,g,2
keskvõimust,võimutasand,n,2
demokraatiaalast,teadlikkus,p,2
hasartmängumaksust,kultuurkapital,all,2
eestlasest,ralliäss,n,2
firmast,laenamine,n,2
nrg-tehingust,loobumine,n,2
otsast,alustamine,el,2
mk-etapist,loobumine,n,2
maanteeinfokeskusest,number,abl,2
sotsiaalministrist,isa,n,2
maalist,inspireeritu,es,2
lauljatarist,õde,n,2
sprindist,maraton,ter,2
isamaaliitlasest,ekslinnapea,g,2
infomenüüst,valimisinfo,g,2
füüsikust,rektor,n,2
kullast,kaunistus,kom,2
ametist,eemaldamine,p,2
küljest,hirm,el,2
maksusoodustusest,ilmajäämine,p,2
isamaaliitlasest,väide,ad,2
ostueesõigusest,loobumine,g,2
paarist,meetod,g,2
portselanist,taldrik,g,2
aastast,külalisprofessor,n,2
parteist,lahkumine,n,2
uriiniproovist,kasutamine,g,2
tööst,ilmajäämine,g,2
maksuvõlglasest,piimaärimees,n,2
ideest,loobumine,n,2
keskerakondlasest,linnapea,ad,2
kollist,migratsioonifond,g,2
vägivallast,kool,in,2
enamikust,mees,el,2
soodusnimekirjast,väljaarvamine,n,2
irooniast,vabanemine,p,2
filipiinlannast,meditsiiniõde,n,2
demokraatiast,tegemine,g,2
vastutusest,hoidumine,n,2
opositsioonist,väljumine,el,2
alliansist,väljajäämine,n,2
eraisikust,omanik,kom,2
netist,märgusõna,p,2
itaallasest,rattaäss,n,2
reedest,otsus,p,2
vaesusest,päästmine,g,2
reservfondist,kuju,g,2
reformierakondlasest,ärimees,n,2
austerlasest,ärimees,g,2
pallist,maavärin,p,2
ametist,lahkuja,n,2
ajateenimisest,loobuja,n,2
sõjaväest,karistamine,p,2
jumalast,ilmajäämine,n,2
välismaalasest,turist,n,2
saiast,seep,ter,2
plastikust,pudel,in,2
kivist,päevaraamat,n,2
aastast,magister,n,2
aastast,lektor,n,2
paaritunnist,etendus,p,2
sülelapsest,pensionär,ter,2
talunikust,pankur,ter,2
võistlusest,osa,g,2
pöörast,elu,n,2
reformierakondlasest,välisminister,g,2
naissoost,tegija,p,2
soost,paar,g,2
toetamisest,keeldumine,g,2
plussist,miinus,ill,2
albaanlasest,poliitik,n,2
arvutialast,kuritegu,p,2
ajaloolasest,ajakirjanik,n,2
vabariiklasest,presidendikandidaat,g,2
esmaspäevast,teisipäev,ter,2
grusiinlasest,treener,g,2
menetlusest,tagasikutsumine,p,2
tipptennisest,loobunu,es,2
koolist,deserteerimine,g,2
politseinikust,ema,n,2
rahvusest,kaevur,g,2
hõbedast,medal,g,2
materjalist,anum,n,2
soost,juht,ad,2
rahvusest,meremees,n,2
eurotsoonist,väljajäämine,n,2
aastast,dotsent,es,2
veebruarist,juuni,ter,2
leedulasest,tapja,n,2
kodanikust,mees,g,2
opositsioonist,esimees,n,2
külmikust,mahl,p,2
olümpiaadist,osavõtja,g,2
palestiinlasest,ametnik,n,2
taskust,kroon,p,2
eraldistardist,klassikadistants,n,2
pronksist,bareljeef,kom,2
toetusrahast,arvuti,ter,2
kandideerimisest,loobumine,tr,2
folkloristist,lugeja,all,2
keskkonnaalast,haldusõiguserikkumine,p,2
horvaadist,põhimängujuht,n,2
autost,varastamine,p,2
lisatasust,ilmajätmine,n,2
dolomiidist,sammas,g,2
nähtusest,informeerimine,ad,2
klaasist,aatrium,n,2
klaasist,fassaad,n,2
ametist,vabastamine,in,2
volikogust,lahkumine,n,2
metsast,kadumine,p,2
barakist,auk,g,2
lätlasest,kartsapäevnik,n,2
püstolist,tulistamine,kom,2
teatrist,minek,g,2
ärevusest,kirjutuslaud,ad,2
stuudiost,ruut,n,2
enimtõenäolist,nimi,p,2
tinast,konteiner,g,2
lambavillast,lill,n,2
rootslasest,juhtivtöötaja,n,2
põhikoolist,väljalangeja,g,2
välismaalasest,ärimees,n,2
šveitslasest,vilemees,n,2
sotsiaalmaksust,osa,n,2
pöördest,väljumine,ad,2
koolist,väljalangenu,el,2
kevlarist,pael,g,2
isemõtlejast,insener,n,2
hävingust,päästmine,g,2
dominiiklasest,preester,n,2
internetist,koduleht,abl,2
ameeriklasest,äär,g,2
ekspeaministrist,ajaloolane,n,2
kandmisest,kõrvalehoidumine,n,2
soost,probleem,n,2
liiklusalast,väärtegu,p,2
graniidist,skulptuur,g,2
deklaratsioonist,loobumine,n,2
tosinast,töö,el,2
brutopalgast,pensionifond,g,2
kinnisvarafirmast,varaekspert,n,2
lõpust,allalaadimine,tr,2
uuringust,osavõtja,n,2
palestiinlasest,naine,n,2
ideest,realiseerimine,ter,2
põhiseadusest,väljavõtmine,n,2
vasest,küünlajalg,n,2
taanlasest,president,n,2
töötusest,liikumine,g,2
metallist,fassaadielement,kom,2
jänkist,tagamängija,g,2
erakonnast,heitmine,tr,2
vahast,teisik,n,2
tervishoiusüsteemist,lahkumine,g,2
metallist,mööbel,n,2
püütonist,jagu,n,2
lavastajast,abikaasa,n,2
venelasest,president,g,2
metallist,kandesüsteem,n,2
rootslasest,juht,p,2
emaüsast,väljumine,p,2
vastasest,võitlus,el,2
puust,baarilett,n,2
ravist,keeldumine,n,2
slovakist,sõber,n,2
eraisikust,investor,g,2
parlamendist,lahkumine,tr,2
tõrvapapist,kate,kom,2
rahvusest,elanikkond,p,2
linnateatrist,lahkumine,p,2
jänesenahast,karvamüts,n,2
komisjonist,lahkumine,tr,2
kivist,lausleek,in,2
maisitärklisest,kilekott,n,2
betoonist,fassaadikivi,p,2
netist,laadimine,n,2
promillist,juht,g,2
sõidugraafikust,kinnipidamine,p,2
silmast,kõnelus,p,2
šokolaadist,pedaalija,g,2
metallist,piirdeaed,g,2
putkest,vabanemine,tr,2
purgist,joomine,g,2
puust,kark,n,2
aastast,liige,es,2
meessoost,partner,p,2
eraisikust,investor,kom,2
meessoost,sõber,p,2
keskkonnaalast,selgitustöö,n,2
eestlasest,kriminaalõigus,g,2
hispaanlasest,piloot,n,2
raudketist,kalmupiire,n,2
erakonnast,väljaviskamine,n,2
kesklinnast,sõjaväekalmistu,all,2
näljast,inimene,p,2
üritusest,osa,g,2
fašismist,vabastamine,g,2
ummikseisust,pääsemine,tr,2
afgaanist,ärimees,n,2
kütuseaktsiisist,teehoid,tr,2
keelust,üleastuja,g,2
puidust,piire,n,2
koolist,keeldumine,n,2
üldkoosolekust,osavõtja,n,2
ekvaatorist,lõuna,in,2
naftatransiidist,kasusaaja,ad,2
portselanist,kroon,n,2
minemisest,loobumine,p,2
kivist,maalapp,p,2
graniidist,tänavakivi,n,2
keskerakondlasest,vallavanem,g,2
tootjafirmast,ruut,n,2
oodatust,laekumine,n,2
puidust,õllekapp,n,2
soost,noor,g,2
soost,partner,kom,2
rahvusest,vastaja,n,2
vanusest,isik,kom,2
rahvusest,teadmine,g,2
rahvusest,vastaja,ad,2
koosseisust,lahkumine,tr,2
etendusest,osa,n,2
kodanikust,bussijuht,n,2
kõrgemast,kunstikool,el,2
teraviljasaagist,tonn,p,2
rasedusest,teadasaamine,p,2
ekspresidendist,abikaasa,g,2
võistlusest,arv,n,2
kroonist,kuutasu,n,2
kohmetusest,ülesaamine,tr,2
soost,publik,n,2
iirlasest,abitöötaja,n,2
belglasest,peakokk,g,2
palgast,maks,tr,2
liikmest,siseminister,n,2
mustlannast,kokk,n,2
soost,külaline,n,2
armeest,väljaheitmine,n,2
netosaajast,netomaksja,tr,2
silikaadist,hoone,n,2
võlast,vabastamine,g,2
streigist,rääkimine,n,2
kummist,nukk,n,2
kartongist,pilet,n,2
reformierakondlasest,komisjon,g,2
eripärast,olemus,p,2
omandist,loobumine,p,2
tehasest,pahvak,es,2
kohast,vedamine,n,2
kivist,tööriist,p,2
korterist,lahkumine,tr,2
metallist,mälestustahvel,g,2
kokkuleppest,kinnipidamine,n,2
elektrialast,väljaõpe,p,2
staabist,asukoht,kom,2
neegrist,kohtunik,n,2
taanlannast,abikaasa,g,2
võimalikkusest,kuul,n,2
seadusest,kõrvalehiilimine,n,2
eurost,juhataja,n,2
brutopalgast,kogumispension,g,2
täispuidust,aken,n,2
metallist,piire,kom,2
tuulikust,koguvõimsus,kom,2
vasest,sõrmus,p,2
venelasest,miljonär,g,2
naissoost,kandidaat,n,2
teaduskandidaadist,teeinsener,g,2
eestlasest,talupoeg,n,2
demokraadist,konkurent,ad,2
ungarlasest,kettaheitja,n,2
invaliidist,vend,g,2
sooritusest,keeldumine,g,2
kunstiteadlasest,direktor,n,2
merevaigust,palvehelmes,n,2
pingest,vabanemine,p,2
enamikust,poliitik,el,2
reformierakondlasest,põhiseaduskomisjon,g,2
eestivenelasest,kaitseväelane,n,2
klaasist,tunnel,n,2
hüvitamisest,loobumine,n,2
enamikust,sanktsioon,el,2
terrorismist,loobumine,g,2
pandiõigusest,loobumine,p,2
pandiõigusest,loobumine,g,2
jordaanlasest,autojuht,p,2
eestlasest,ema,n,2
mäest,ülesminek,ad,2
hõbedast,portsigar,g,2
keskkonnast,võõrandumine,g,2
aktsiisirahast,tee,all,2
presidendist,isa,g,2
kanadalasest,advokaat,n,2
kommunistist,diktaator,n,2
sakslasest,ärimees,n,2
pronksist,monument,g,2
malmist,kaas,p,2
betoonist,kaevukaas,p,2
rahvusest,tsiviilisik,g,2
geotekstiilist,konteiner,n,2
kroonist,toetus,p,2
itaallannast,abitöötaja,p,2
itaallannast,pantvang,p,2
rahvusest,veteran,all,2
töökohast,ilmajäämine,kom,2
täisklaasist,pääslahoone,g,2
istumajätmisest,loobumine,n,2
metallist,kast,p,2
kinnipidamiskohast,vabanenu,all,2
materjalist,teos,n,2
bussijuhist,juhataja,n,2
kummist,detail,n,2
eestlasest,naine,p,2
vägivallast,väljatulek,tr,2
südamest,häbi,n,2
klaasist,torn,n,2
alimendikohuslasest,isa,n,2
kubernerist,demokraat,g,2
suurusest,vahemik,p,2
meessoost,autojuht,adt,2
sakslasest,noormees,n,2
viisnurgast,koondatu,all,2
nahast,kotike,n,2
eestlasest,dirigent,n,2
soost,pianist,g,2
rauast,pidur,n,2
rahvaliitlasest,majanduskomisjon,g,2
venelasest,mees,n,2
virtsust,reis,n,2
ehitusest,loobumine,kom,2
lihast-luust-laulust,sümbolkuju,n,2
sõbrast,kandidaat,g,2
kvartsist,tööriist,p,2
silmast,vestlus,ad,2
isi-kust,ettevõtja,n,2
in-ter-ne-tist,aad,n,2
reformierakondlasest,majandus,n,2
loomapidamisõigusest,ilmajätmine,n,2
soost,sõber,p,2
noorteklassist,üleminek,n,2
köiest,rääkimine,n,2
hasartmängusõltuvusest,vabanemine,tr,2
metallist,nurkliist,n,2
vedelast,mees,p,2
liiklusregistrist,kustutamine,g,2
keskerakondlasest,riigikaitsekomisjon,g,2
koolist,kõrvalejätmine,el,2
fännist,ekspresident,n,2
mustlasest,taksojuht,n,2
keskfraktsioonist,lahkumine,g,2
erakonnast,väljaarvamine,n,2
graniitkivist,veesilm,n,2
võõrandamisest,keeldumine,n,2
vaskplekist,katus,g,2
eestlasest,tagamängija,p,2
lennundusalast,oskusteave,p,2
trepikojast,vägivallatundemärk,kom,2
klaas-alumiiniumist,fassaadisüsteem,p,2
terasest,sammas,n,2
aprillist,liikmesmaa,n,2
parklast,buss,n,2
metallist,vidin,n,2
erisoodustusmaksust,vabastamine,n,2
finaalist,väljalangenu,n,2
ameeriklasest,tsiviilisik,g,2
põgenikelaagrist,tulistamine,p,2
rootslasest,äripartner,n,2
metallist,autasu,p,2
autost,ese,n,2
kruusist,õlu,el,2
uimastisõltuvusest,vabanemine,tr,2
pronksist,osa,n,2
politseist,skandaal,kom,2
elukohast,teatamine,g,2
aastast,toimetaja,n,2
parteikaaslasest,parlamendiliige,n,2
reedest,istung,p,2
puidust,talumaja,g,2
tonnist,veok,p,2
rahvusest,ametnik,p,2
maksuametist,lahkumine,g,2
naissoost,minister,n,2
riidest,mähe,n,2
mängust,kaotus,p,2
tööst,rääkimine,tr,2
põrgust,paradiis,adt,2
koduvalvurist,koer,n,2
tekstiilist,plaaster,n,2
õppeasutusest,lahkumine,p,2
eesnimest,täht,n,2
serblasest,keskkaitsja,n,2
tulumaksust,pääsemine,tr,2
poolatarist,naine,n,2
kõrgemast,osatähtsus,el,2
tööparteilasest,peaminister,n,2
barokist,kaasaeg,ter,2
keskerakondlasest,abilinnapea,ad,2
teenusepakkujast,logistikaettevõte,tr,2
põlengualast,ülevaade,g,2
kodust,väljatulemine,n,2
piirist,jagu,n,2
maksmisest,loobumine,n,2
nöörist,sang,kom,2
venelasest,juht,g,2
aktist,loobumine,g,2
kalurist,mees,n,2
ühispangast,laen,g,2
reklaamist,keeldumine,g,2
paekivist,sein,kom,2
sotsiaaldemokraadist,riigikogulane,n,2
malesõbrast,tippmodell,n,2
prantslasest,üldliider,n,2
sarjast,raamat,n,2
majast,saamine,tr,2
august,asfalteerimistöö,kom,2
jalgpallialast,mõtlemine,p,2
lätlasest,teisik,n,2
soost,ohvitser,g,2
iisraellasest,ettevõtja,p,2
teisipäevast,plahvatus,p,2
sakslasest,president,n,2
rahvusest,naine,ad,2
fraktsioonist,väljaastumine,g,2
põhikoolist,väljalangemine,p,2
internetist,leidmine,n,2
enamikust,juut,el,2
soost,pastor,g,2
vetoõigusest,loobumine,n,2
soost,diplomaat,all,2
hasartmängumaksust,aseesimees,n,2
esseekonkursist,osavõtja,n,2
mehest,naine,tr,2
asukohast,lause,in,2
pronksist,tugisammas,p,2
pronksist,skulptuurpaneel,kom,2
võimust,loobumine,all,2
vangistusest,vabastamine,g,2
plekist,kaas,n,2
enamikust,korter,el,2
riigieelarvest,uurimistoetus,tr,2
meediamagnaadist,peaminister,n,2
korterist,vaade,n,2
lihast,valmistoit,p,2
teenusest,loobumine,p,2
teest,piir,ter,2
põhikoolist,tulnu,p,2
kunstnikust,elukaaslane,n,2
müüjast,kriminaalkurjategija,n,2
sakslasest,dirigent,g,2
linnast,saamine,tr,2
ajakirjanikust,salaagent,n,2
elust,mahakirjutamine,g,2
poest,varastamine,n,2
turust,osa,g,2
metallist,käsipuu,n,2
klassist,meeskond,kom,2
konservatiivist,liige,g,2
reast,tegur,el,2
hoonest,väljakolimine,n,2
riigikassast,toetamine,p,2
välismaalasest,tsiviilisik,p,2
bakeliidist,käepide,n,2
jääst,palee,n,2
rahvaküsitlusest,osavõtt,n,2
ukrainlasest,treener,g,2
naissoost,töötaja,g,2
naissoost,politseiametnik,n,2
plastikust,kate,g,2
sadamast,linn,g,2
koondisekohast,loobumine,p,2
demokraadist,kandidaat,n,2
riidest,mähe,p,2
aktsiakapitalist,ühispank,n,2
puidust,aken,p,2
tollist,kättesaamine,tr,2
metallist,plaadike,p,2
meessoost,ülemus,n,2
meessoost,pantvang,kom,2
armeest,väljaviskamine,g,2
soost,nooruk,g,2
meessoost,tudeng,el,2
naissoost,tudeng,n,2
materjalist,kaas,n,2
innovatsioonialast,tegevus,p,2
väliseestlasest,ärimees,g,2
erikoolist,lahkumine,p,2
avalikustamisest,keeldumine,n,2
turismialast,huvi,n,2
maksust,vabanemine,tr,2
koerasalongist,lahkumine,p,2
tiigist,uppunu,es,2
vöörist,ahter,ter,2
käibest,kõrvaldamine,g,2
reservist,lisaraha,p,2
soost,ülik,n,2
küljest,jutustamine,n,2
loodusalast,info,p,2
eestlasest,filmitegija,g,2
jalgpallist,loobumine,g,2
kivist,haud,p,2
advokatuurist,väljaheitmine,kom,2
juuditarist,abikaasa,n,2
viljastamisest,sündinu,g,2
perekonnaseisubüroost,andmed,p,2
kiviajast,aasta,ter,2
atmosfäärist,süsihappegaas,p,2
mihklipäevast,jüripäev,ter,2
venelannast,abikaasa,kom,2
horvaadist,kohtunik,n,2
verbist,kaap,adt,2
hotellist,sadam,ill,2
norralasest,tiitlikaitsja,n,2
mandaadist,loobumine,kom,2
usust,taganeja,p,2
firmajuhist,isa,n,2
summast,protsent,p,2
mälust,ammutamine,g,2
ajast,vikerraadio,p,2
pronoomenist,alus,kom,2
alumiiniumist,punakotkas,p,2
reedest,esietendus,p,2
austerlasest,vilemees,n,2
alagrupist,edasipääs,kom,2
väljendist,arusaamine,ad,2
võõramaalasest,treener,n,2
ühiskonnast,eraldamine,tr,2
äriplaanist,töönimi,kom,2
kuupmeetrist,kütus,el,2
soost,uurija,n,2
liibüalasest,terror,el,2
plastist,mänguasi,p,2
martsipanist,jõululaps,n,2
sõnast,ime,n,2
lastekodust,lahkuja,all,2
graniidist,tasapind,n,2
materjalist,sammaskäik,n,2
kauplusest,väljumine,ad,2
ühiskonnast,tõrjutus,g,2
rahvusest,töötaja,g,2
südaööst,hommik,ad,2
klaasist,lift,n,2
käigust,ärajäämine,n,2
kirjastusest,raamat,n,2
vastassoost,töötaja,kom,2
armastusest,loobumine,g,2
koduperenaisest,proua,n,2
plastikust,kaater,n,2
hügieenialast,väljaõpe,p,2
metallist,toru,g,2
vägivallast,hoidumine,g,2
armeenlasest,direktor,kom,2
riidest,tool,n,2
arhitektist,ametnik,ad,2
tegevusloast,ilmajäämine,g,2
klaasist,ootepaviljon,ill,2
toomapäevast,kolmekuningapäev,ter,2
vaimust,rääkimine,n,2
tehnikaülikoolist,magistritöö,g,2
ülikoolist,diplomitöö,g,2
ülikoolist,võistlustöö,n,2
konkurentsist,piirkond,in,2
mäest,ülesronimine,n,2
talllinnast,otselend,kom,2
hotellist,maksumus,kom,2
riigieelarvest,õpetaja,all,2
kandekotist,rahakott,n,2
serblasest,liige,g,2
invaliidist,vanaperenaine,n,2
korterist,lahkumine,ad,2
klaasist,õlletaara,g,2
kaasmaalasest,füsioterapeut,g,2
soost,poliitik,n,2
moosekandist,kõrtsmik,n,2
naissoost,parlamendisaadik,n,2
metallist,kaunistus,kom,2
valimisliidust,samm,n,2
näitlejannast,naine,n,2
muusikalist,kogemus,p,2
tonnist,oopium,el,2
ühiskassast,protsent,ab,2
ehitusalast,pind,p,2
algkoolist,ülikool,ter,2
teenusest,loobumine,tr,2
hõbedast,sõrmus,g,2
jahist,osa,p,2
kopranahast,müts,n,2
mõniteist,inimene,p,2
arstist,abikaasa,g,2
kommunistist,riigiduuma,g,2
vägivallast,hoidumine,p,2
õhtupoolikust,hilisöö,ter,2
rahvusest,sportlane,n,2
serblasest,mängujuht,n,2
soost,tegelane,g,2
parkmetsast,eramukrunt,tr,2
venelasest,hokimängija,g,2
hispaanlasest,mängujuht,g,2
ameeriklasest,autor,n,2
metallist,prügikühvel,n,2
olukorrast,riik,el,2
lapsest,pool,n,2
korteriomanikust,tarbija,ad,2
id-piletist,sõidukaart,n,2
varast,surm,g,2
perekonnast,tüdruk,n,2
otsast,alustamine,tr,2
treenerist,isa,p,2
narkomaanist,laps,p,2
metallist,ehituskonstruktsioon,p,2
kursusest,osa,g,2
kehast,põletushaav,in,2
needusest,vabastamine,g,2
sudaanlasest,põgenik,adt,2
soost,õpetaja,n,2
veerandtunnist,seanss,p,2
meessoost,liige,p,2
tsiviilisikust,tõlk,g,2
muusikast,vaimustus,n,2
hektarist,maa,el,2
paekivist,terrass,n,2
eelarvest,toetus,tr,2
sarjast,väljakukkumine,n,2
festivalist,osa,p,2
rahvusest,üliõpilane,p,2
soost,misjonär,g,2
araablasest,enesetaputerrorist,n,2
kabuhirmust,olukord,in,2
õppepäevast,osavõtja,all,2
riigist,lahkumine,all,2
langevarjust,triivankur,n,2
naissoost,sugulane,p,2
rahvusest,kapital,g,2
venelannast,prostituut,adt,2
eestlasest,kirjastaja,g,2
erastamisest,loobumine,p,2
ilmajäämisest,pääsemine,tr,2
välisministrist,hinnang,ad,2
lisaeelarvest,rekonstrueerimistoetus,tr,2
metallist,autotarvik,g,2
sakslannast,abikaasa,n,2
liivakivist,pankrannik,n,2
naissoost,enesetaputerrorist,kom,2
ametist,praktikatoetus,p,2
nahast,spordikott,n,2
keelust,üleastumine,p,2
kodanikust,elukaaslane,n,2
kompuutrist,termopaber,ad,2
koolist,väljajäänu,ad,2
metallist,ümbris,n,2
hüvitamisest,keeldumine,n,2
lätlasest,nurgaründaja,g,2
rannast,ruugerüdi,n,2
kodust,väljumine,ad,2
liikmest,liige,n,2
kaotusest,pääs,p,2
paberist,parkimispilet,p,2
kivist,vesi,p,2
töökohast,mittenaasmine,n,2
täitmisest,kõrvalehoidumine,n,2
metallist,fassaadikate,g,2
august,kinnitus,ad,2
rahvusest,valija,g,2
venelasest,poliitik,n,2
miljardärist,filantroop,n,2
taastusravist,ilmajäämine,n,2
asfaltbetoonist,ülekate,n,2
raudteetöölisest,isa,n,2
elust,rääkimine,n,2
soost,autor,g,2
naissoost,välisminister,n,2
metallist,varikatus,n,2
turvamehest,linnavaht,p,2
trükist,ilmumine,p,2
iraaklasest,turvamees,p,2
materjalist,käsitöö,es,2
elanikkonnast,vanus,in,2
müügimaksust,loobumine,n,2
soojast,keeld,in,2
abituriendist,noormees,n,2
olukorrast,väljatulek,n,2
kuust,hooajatöö,g,2
kultuurkapitalist,kroon,p,2
merest,uppunu,es,2
ülemast,kindralmajor,n,2
kohast,ilmajäämine,kom,2
jalgpallist,kasvatamine,el,2
isikust,võlgnik,p,2
rämpspostist,keeldumine,g,2
ilmast,lahkunu,g,2
invaliidist,mees,kom,2
kilost,forell,p,2
metallist,kandevkonstruktsioon,n,2
sakslasest,molekulaarbioloog,all,2
norralasest,suusatamine,g,2
puust,sigarikast,adt,2
paberist,kuju,kom,2
teenistusest,lahkumine,tr,2
papist,maja,g,2
